record_id,clip_name,location,content_status,duration_seconds,fps,loop,humanoid,driver_reference,semantic_family,candidate_context,assignment_confidence,required_validation
1,Aerial Evade,Assets/Animations/Mixamo,Imported; project-root archive exact match,3.667,30,no,yes,no,Aerial evade,"Airborne obstacle avoidance or optional directional trick",medium,"Identify travel direction; annotate safe entry/exit and limb envelope"
2,Big Body Blow,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.567,30,no,yes,no,Impact/combat,"Severe frontal impact reaction only if its motion reads as environment contact",low,"Likely combat-only; inspect contact direction and recovery"
3,Big Jump,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.367,30,no,yes,yes,Takeoff/jump,"Power jump from low or moderate approach speed with long available airtime",high,"Annotate takeoff frame and protected airborne window"
4,Breathing Idle,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,9.933,30,yes,yes,yes,Idle,"Long neutral idle variation",high,"Confirm loop seam and grounded foot contacts"
5,Butterfly Twirl,Assets/Animations/Mixamo,Imported; project-root archive exact match,3.067,30,no,yes,yes,Aerial trick,"Long-drop secondary trick when predicted clearance and landing reserve are sufficient",medium,"Annotate full body clearance envelope and rotation-complete frame"
6,Corkscrew Evade,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.500,30,no,yes,no,Aerial evade,"Airborne lateral opening selection or obstacle avoidance",medium,"Identify handedness and net displacement"
7,Corkscrew Kip Up,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.767,30,no,yes,no,Recovery,"Ground recovery after crash or knockdown",medium,"Find ground-contact interval; do not use as ordinary landing without inspection"
8,Drop Kick,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.900,30,no,yes,no,Combat,"Combat-only aerial strike; not a traversal default",high,"Exclude from traversal unless a combat target and hit event exist"
9,Falling To Landing,Assets/Animations/Mixamo,Imported; project-root archive exact match,1.067,30,no,yes,yes,Landing,"Low-to-medium vertical impact with little forward speed",high,"Annotate anticipation start; first contact; compression; stable exit"
10,Falling To Roll,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.133,30,no,yes,no,Landing/roll,"High impact with enough horizontal momentum and clear roll corridor",high,"Measure roll travel and capsule clearance"
11,Falling,Assets/Animations/Mixamo,Imported; project-root archive exact match,4.500,30,yes,yes,yes,Fall loop,"Neutral fall or bridge pose between completed aerial actions",high,"Annotate loop phase and safe blend windows"
12,Flip Kick (1),Assets/Animations/Mixamo,Imported; project-root archive exact match,2.033,30,no,yes,no,Combat,"Combat finisher only",high,"Exclude from autonomous traversal"
13,Flip Kick,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.800,30,no,yes,no,Combat,"Combat finisher only",high,"Exclude from autonomous traversal"
14,Flying Knee Punch Combo,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.667,30,no,yes,no,Combat,"Combat combo only",high,"Exclude from autonomous traversal"
15,Flying Shoulder Throw,Assets/Animations/Mixamo,Imported; project-root archive exact match,3.700,30,no,yes,no,Combat,"Combat throw only",high,"Requires a synchronized target; exclude from solo traversal"
16,Front Flip,Assets/Animations/Mixamo,Imported; project-root archive exact match,1.667,30,no,yes,yes,Aerial trick,"Compact flip for double jump or medium drop with enough time before contact",high,"Annotate rotation-complete frame and minimum safe airtime"
17,Front Twist Flip,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.200,30,no,yes,yes,Aerial trick,"Variety trick for longer drops or faster forward trajectories",medium,"Annotate direction; rotation completion; lateral envelope"
18,Getting Hit Backwards,Assets/Animations/Mixamo,Imported; project-root archive exact match,2.667,30,no,yes,no,Impact/combat,"Hard frontal collision fallback if its feet and recovery fit the wall case",low,"Likely damage reaction; inspect root travel and fall state"
19,Getting Thrown,Assets/Animations/Mixamo,Imported; project-root archive exact match,4.333,30,no,yes,no,Impact/combat,"Scripted knockback only",high,"Do not substitute for wall collision without a recovery plan"
20,Grab And Slam,Assets/Animations/Mixamo,Imported; project-root archive exact match,4.267,30,no,yes,no,Combat,"Combat interaction only",high,"Requires a synchronized target; exclude from traversal"
21,Happy Idle,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,2.933,30,yes,yes,yes,Idle,"Short idle variation after calm dwell",high,"Confirm loop seam and grounded feet"
22,Idle,Assets/Animations/Mixamo,Imported; Downloads exact duplicate,1.967,30,yes,yes,yes,Idle,"Default stable pose and common transition hub",high,"Use as the canonical pose-signature reference"
23,Inverted Double Kick To Kip Up,Assets/Animations/Mixamo,Imported; project-root archive exact match,3.200,30,no,yes,no,Combat/recovery,"Stylized knockdown recovery or authored combat chain",low,"Inspect every contact phase; not a general landing clip"
